โครงสร้างและรูปแบบข้อมูล XML  ภงด 50,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Index,Dictionary Entry Name (DEN) ,,,,,,,,<XML Tag>,Description ,Type ,Max Len,Attribute ,,,Rule Guideline,,,
1.6.6.1,,,,,TaxFormDetail.CostOfSales.no1,,,,<rd:No1>,สินค้าคงเหลือ ณ วันเริ่มรอบระยะเวลาบัญชี,Object,,[0…1],,,,,,
1.6.6.1.1,,,,,,TaxFormDetail.CostOfSales.no1.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.6.1.2,,,,,,TaxFormDetail.CostOfSales.no1.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.6.1.3,,,,,,TaxFormDetail.CostOfSales.no1.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R72,,,
1.6.6.2,,,,,TaxFormDetail.CostOfSales.No2,,,,<rd:No2>,ซื้อสินค้า,Object,,[0…1],,,,,,
1.6.6.2.1,,,,,,TaxFormDetail.CostOfSales.No2.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.6.2.2,,,,,,TaxFormDetail.CostOfSales.No2.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.6.2.3,,,,,,TaxFormDetail.CostOfSales.No2.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R73,,,
1.6.6.3,,,,,TaxFormDetail.CostOfSales.No3,,,,<rd:No3>,ต้นทุนผลิต/ต้นทุนการให้บริการ จะมีค่าก็ต่อเมื่อ รายการที่ 4 ข้อ 17 มีข้อมูล,Object,,[0…1],C,C,,,,
1.6.6.3.1,,,,,,TaxFormDetail.CostOfSales.No3.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R74,,,
1.6.6.3.2,,,,,,TaxFormDetail.CostOfSales.No3.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R75,,,
1.6.6.3.3,,,,,,TaxFormDetail.CostOfSales.No3.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R76,,,
1.6.6.4,,,,,TaxFormDetail.CostOfSales.No4,,,,<rd:No4>,ค่าแห่งกู๊ดวิลล์ ค่าแห่งลิขสิทธิ์ หรือสิทธิอย่างอื่น,Object,,[0…1],C,C,,,,
1.6.6.4.1,,,,,,TaxFormDetail.CostOfSales.No4.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.6.4.2,,,,,,TaxFormDetail.CostOfSales.No4.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.6.4.3,,,,,,TaxFormDetail.CostOfSales.No4.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R77,,,
1.6.6.5,,,,,TaxFormDetail.CostOfSales.No5,,,,<rd:No5>,ค่าใช้จ่ายอื่น ๆ ในการซื้อสินค้า,Object,,[0…1],,,,,,
1.6.6.5.1,,,,,,TaxFormDetail.CostOfSales.No5.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.6.5.2,,,,,,TaxFormDetail.CostOfSales.No5.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.6.5.3,,,,,,TaxFormDetail.CostOfSales.No5.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R78,,,
1.6.6.6,,,,,TaxFormDetail.CostOfSales.No6,,,,<rd:No6>,รวม 3. ถึง 5. จะมีค่าก็ต่อเมื่อ ข้อ 3 - 5 ข้อใดข้อหนึ่งมีข้อมูล,Object,,[0…1],C,C,,,,
1.6.6.6.1,,,,,,TaxFormDetail.CostOfSales.No6.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R79,,,
1.6.6.6.2,,,,,,TaxFormDetail.CostOfSales.No6.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R80,,,
1.6.6.6.3,,,,,,TaxFormDetail.CostOfSales.No6.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R81,,,
1.6.6.7,,,,,TaxFormDetail.CostOfSales.No7,,,,<rd:No7>,"รวม (1+2+6) จะมีค่าก็ต่อเมื่อ ข้อ 1, 2, 6 ข้อใดข้อหนึ่งมีข้อมูล",Object,,[0…1],C,C,,,,
1.6.6.7.1,,,,,,TaxFormDetail.CostOfSales.No7.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R82,,,
1.6.6.7.2,,,,,,TaxFormDetail.CostOfSales.No7.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R83,,,
1.6.6.7.3,,,,,,TaxFormDetail.CostOfSales.No7.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R84,,,
1.6.6.8,,,,,TaxFormDetail.CostOfSales.No8,,,,<rd:No8>,หัก สินค้าคงเหลือ ณ วันสุดท้ายของรอบระยะเวลาบัญชี,Object,,[0…1],,,,,,
1.6.6.8.1,,,,,,TaxFormDetail.CostOfSales.No8.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R85,,,
1.6.6.8.2,,,,,,TaxFormDetail.CostOfSales.No8.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R86,,,
1.6.6.8.3,,,,,,TaxFormDetail.CostOfSales.No8.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R87,,,
1.6.6.9,,,,,TaxFormDetail.CostOfSales.totalAmount,,,,<rd:TotalAmount>,ต้นทุนขายหรือรายจ่ายเพื่อคำนวณกำไรขั้นต้น (7. - 8. ) จะมีค่าก็ต่อเมื่อรายการที่ 3 ข้อใดข้อหนึ่งมีค่า,Object,,[0…1],C,C,,,,
1.6.6.9.1,,,,,,TaxFormDetail.CostOfSales.totalAmount.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R88,,,
1.6.6.9.2,,,,,,TaxFormDetail.CostOfSales.totalAmount.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R89,,,
1.6.6.9.3,,,,,,TaxFormDetail.CostOfSales.totalAmount.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R90,,,
1.6.7,,,,TaxFormDetail.ManufacturingCosts,,,,,<rd:ManufacturingCosts>,ต้นทุนผลิต/ต้นทุนการให้บริการ,Object,,[0…1],,,,,,
1.6.7.1,,,,,TaxFormDetail.ManufacturingCosts.No1,,,,<rd:No1>,วัตถุดิบ และวัสดุคงเหลือ ณ วันเริ่มรอบระยะเวลาบัญชี,Object,,[0…1],,,,,,
1.6.7.1.1,,,,,,TaxFormDetail.ManufacturingCosts.No1.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.1.2,,,,,,TaxFormDetail.ManufacturingCosts.No1.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.1.3,,,,,,TaxFormDetail.ManufacturingCosts.No1.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R91,,,
1.6.7.2,,,,,TaxFormDetail.ManufacturingCosts.No2,,,,<rd:No2>,ซื้อวัสดุดิบ และวัสดุ,Object,,[0…1],,,,,,
1.6.7.2.1,,,,,,TaxFormDetail.ManufacturingCosts.No2.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.2.2,,,,,,TaxFormDetail.ManufacturingCosts.No2.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.2.3,,,,,,TaxFormDetail.ManufacturingCosts.No2.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R92,,,
1.6.7.3,,,,,TaxFormDetail.ManufacturingCosts.No3,,,,<rd:No3>,ค่าใช้จ่ายอื่น ๆ ในการซื้อวัตถุดิบ,Object,,[0…1],C,C,,,,
1.6.7.3.1,,,,,,TaxFormDetail.ManufacturingCosts.No3.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.3.2,,,,,,TaxFormDetail.ManufacturingCosts.No3.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.3.3,,,,,,TaxFormDetail.ManufacturingCosts.No3.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R93,,,
1.6.7.4,,,,,TaxFormDetail.ManufacturingCosts.No4,,,,<rd:No4>,รวม 1. ถึง 3. จะมีค่าก็ต่อเมื่อรายการที่ 4 ข้อ (1) -  (3) ข้อใดข้อหนึ่งมีค่า,Object,,[0…1],,,,,,
1.6.7.4.1,,,,,,TaxFormDetail.ManufacturingCosts.No4.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R94,,,
1.6.7.4.2,,,,,,TaxFormDetail.ManufacturingCosts.No4.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R95,,,
1.6.7.4.3,,,,,,TaxFormDetail.ManufacturingCosts.No4.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R96,,,
1.6.7.5,,,,,TaxFormDetail.ManufacturingCosts.No5,,,,<rd:No5>,วัตถุดิบ และวัสดุคงเหลือ ณ วันสุดท้ายของรอบระยะเวลาบัญชี,Object,,[0…1],,,,,,
1.6.7.5.1,,,,,,TaxFormDetail.ManufacturingCosts.No5.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R97,,,
1.6.7.5.2,,,,,,TaxFormDetail.ManufacturingCosts.No5.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R98,,,
1.6.7.5.3,,,,,,TaxFormDetail.ManufacturingCosts.No5.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R99,,,
1.6.7.6,,,,,TaxFormDetail.ManufacturingCosts.No6,,,,<rd:No6>,ต้นทุนวัตถุดิบ และวัสดุที่ใช้ไป (4. - 5.) มีค่าก็ต่อเมื่อรายการที่ 4 ข้อ 4 และ 5 ข้อใดข้อหนึ่งมีค่า,Object,,[0…1],,,,,,
1.6.7.6.1,,,,,,TaxFormDetail.ManufacturingCosts.No6.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R100,,,
1.6.7.6.2,,,,,,TaxFormDetail.ManufacturingCosts.No6.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R101,,,
1.6.7.6.3,,,,,,TaxFormDetail.ManufacturingCosts.No6.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R102,,,
1.6.7.7,,,,,TaxFormDetail.ManufacturingCosts.No7,,,,<rd:No7>,งานระหว่างทำ หรือสินค้าระหว่างผลิตคงเหลือ ณ วันเริ่มระยะเวลาบัญชี,Object,,[0…1],,,,,,
1.6.7.7.1,,,,,,TaxFormDetail.ManufacturingCosts.No7.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.7.2,,,,,,TaxFormDetail.ManufacturingCosts.No7.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.7.3,,,,,,TaxFormDetail.ManufacturingCosts.No7.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R103,,,
1.6.7.8,,,,,TaxFormDetail.ManufacturingCosts.No8,,,,<rd:No8>,เงินเดือน และค่าจ้างแรงงาน,Object,,[0…1],,,,,,
1.6.7.8.1,,,,,,TaxFormDetail.ManufacturingCosts.No8.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.8.2,,,,,,TaxFormDetail.ManufacturingCosts.No8.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.8.3,,,,,,TaxFormDetail.ManufacturingCosts.No8.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R104,,,
1.6.7.9,,,,,TaxFormDetail.ManufacturingCosts.No9,,,,<rd:No9>,ค่าแห้งกู๊ดวิลล์ ค่าแห้งลิขสิทธิ์ หรือสิทธิอย่างอื่น,Object,,[0…1],,,,,,
1.6.7.9.1,,,,,,TaxFormDetail.ManufacturingCosts.No9.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.9.2,,,,,,TaxFormDetail.ManufacturingCosts.No9.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.9.3,,,,,,TaxFormDetail.ManufacturingCosts.No9.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R105,,,
1.6.7.10,,,,,TaxFormDetail.ManufacturingCosts.No10,,,,<rd:No10>,ค่าเชื้อเพลิงหรือพลังงาน,Object,,[0…1],,,,,,
1.6.7.10.1,,,,,,TaxFormDetail.ManufacturingCosts.No10.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.10.2,,,,,,TaxFormDetail.ManufacturingCosts.No10.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.10.3,,,,,,TaxFormDetail.ManufacturingCosts.No10.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R106,,,
1.6.7.11,,,,,TaxFormDetail.ManufacturingCosts.No11,,,,<rd:No11>,ค่าภาชนะบรรจุ ค่าหีบห่อ,Object,,[0…1],,,,,,
1.6.7.11.1,,,,,,TaxFormDetail.ManufacturingCosts.No11.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.11.2,,,,,,TaxFormDetail.ManufacturingCosts.No11.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.11.3,,,,,,TaxFormDetail.ManufacturingCosts.No11.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R107,,,
1.6.7.12,,,,,TaxFormDetail.ManufacturingCosts.No12,,,,<rd:No12>,ค่าสึกหลอ และค่าเสื่อมราคา,Object,,[0…1],,,,,,
1.6.7.12.1,,,,,,TaxFormDetail.ManufacturingCosts.No12.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.12.2,,,,,,TaxFormDetail.ManufacturingCosts.No12.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.12.3,,,,,,TaxFormDetail.ManufacturingCosts.No12.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R108,,,
1.6.7.13,,,,,TaxFormDetail.ManufacturingCosts.No13,,,,<rd:No13>,ค่าใช้จ่ายในการผลิต/การให้บริการอื่น ๆ,Object,,[0…1],,,,,,
1.6.7.13.1,,,,,,TaxFormDetail.ManufacturingCosts.No13.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.13.2,,,,,,TaxFormDetail.ManufacturingCosts.No13.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.7.13.3,,,,,,TaxFormDetail.ManufacturingCosts.No13.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R109,,,
1.6.7.14,,,,,TaxFormDetail.ManufacturingCosts.No14,,,,<rd:No14>,รวม 8. ถึง 13. จะมีค่าก็ต่อเมื่อรายการที 4 ข้อ 8 - 13 ข้อใดข้อหนึ่งมีค่า,Object,,[0…1],,,,,,
1.6.7.14.1,,,,,,TaxFormDetail.ManufacturingCosts.No14.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R110,,,
1.6.7.14.2,,,,,,TaxFormDetail.ManufacturingCosts.No14.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R111,,,
1.6.7.14.3,,,,,,TaxFormDetail.ManufacturingCosts.No14.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R112,,,
1.6.7.15,,,,,TaxFormDetail.ManufacturingCosts.No15,,,,<rd:No15>,"รวม ( 6.+7.+14.) จะมีค่าก็ต่อเมื่อรายการที 4 ข้อ 6, 7และ 14 ข้อใดข้อหนึ่งมีค่า",Object,,[0…1],,,,,,
1.6.7.15.1,,,,,,TaxFormDetail.ManufacturingCosts.No15.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R113,,,
1.6.7.15.2,,,,,,TaxFormDetail.ManufacturingCosts.No15.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R114,,,
1.6.7.15.3,,,,,,TaxFormDetail.ManufacturingCosts.No15.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R115,,,
1.6.7.16,,,,,TaxFormDetail.ManufacturingCosts.No16,,,,<rd:No16>,งานระหว่างทำ หรือสินค้าระหว่างผลิตคงเหลือ ณ วันสุดท้ายของรอบระยะเวลาบัญชี,Object,,[0…1],,,,,,
1.6.7.16.1,,,,,,TaxFormDetail.ManufacturingCosts.No16.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R116,,,
1.6.7.16.2,,,,,,TaxFormDetail.ManufacturingCosts.No16.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R117,,,
1.6.7.16.3,,,,,,TaxFormDetail.ManufacturingCosts.No16.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R118,,,
1.6.7.17,,,,,TaxFormDetail.ManufacturingCosts.TotalAmount,,,,<rd:TotalAmount>,ต้นทุนผลิต/ต้นทุนการให้บริการ (15. - 16.)  จะมีค่าก็ต่อเมื่อรายการที 4 ข้อ 15 และ 16 ข้อใดข้อหนึ่งมีค่า,Object,,[0…1],,,,,,
1.6.7.17.1,,,,,,TaxFormDetail.ManufacturingCosts.TotalAmount.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R119,,,
1.6.7.17.2,,,,,,TaxFormDetail.ManufacturingCosts.TotalAmount.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R120,,,
1.6.7.17.3,,,,,,TaxFormDetail.ManufacturingCosts.TotalAmount.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R121,,,
1.6.8,,,,TaxFormDetail.OtherIncomes,,,,,<rd:OtherIncomes>,รายได้อื่น,Object,,[0…1],,,,,,
1.6.8.1,,,,,TaxFormDetail.OtherIncomes.No1,,,,<rd:No1>,กำไรจากการจำหน่ายทรัพย์สิน,Object,,[0…1],,,,,,
1.6.8.1.1,,,,,,TaxFormDetail.OtherIncomes.No1.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R122,,,
1.6.8.1.2,,,,,,TaxFormDetail.OtherIncomes.No1.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R123,,,
1.6.8.1.3,,,,,,TaxFormDetail.OtherIncomes.No1.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R124,,,
1.6.8.2,,,,,TaxFormDetail.OtherIncomes.No2,,,,<rd:No2>,กำไรจากการแลกเปลี่ยนเงินตรา,Object,,[0…1],,,,,,
1.6.8.2.1,,,,,,TaxFormDetail.OtherIncomes.No2.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R125,,,
1.6.8.2.2,,,,,,TaxFormDetail.OtherIncomes.No2.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R126,,,
1.6.8.2.3,,,,,,TaxFormDetail.OtherIncomes.No2.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R127,,,
1.6.8.3,,,,,TaxFormDetail.OtherIncomes.No3,,,,<rd:No3>,ดอกเบี้ยรับ,Object,,[0…1],,,,,,
1.6.8.3.1,,,,,,TaxFormDetail.OtherIncomes.No3.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R128,,,
1.6.8.3.2,,,,,,TaxFormDetail.OtherIncomes.No3.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R129,,,
1.6.8.3.3,,,,,,TaxFormDetail.OtherIncomes.No3.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R130,,,
1.6.8.4,,,,,TaxFormDetail.OtherIncomes.No4,,,,<rd:No4>,เงินปันผลหรือส่วนแบ่งกำไร,Object,,[0…1],,,,,,
1.6.8.4.1,,,,,,TaxFormDetail.OtherIncomes.No4.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R131,,,
1.6.8.4.2,,,,,,TaxFormDetail.OtherIncomes.No4.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R132,,,
1.6.8.4.3,,,,,,TaxFormDetail.OtherIncomes.No4.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R133,,,
1.6.8.5,,,,,TaxFormDetail.OtherIncomes.No5,,,,<rd:No5>,เงินชดเชยค่าภาษีอากร,Object,,[0…1],,,,,,
1.6.8.5.1,,,,,,TaxFormDetail.OtherIncomes.No5.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R134,,,
1.6.8.5.2,,,,,,TaxFormDetail.OtherIncomes.No5.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R135,,,
1.6.8.5.3,,,,,,TaxFormDetail.OtherIncomes.No5.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R136,,,
1.6.8.6,,,,,TaxFormDetail.OtherIncomes.No6,,,,<rd:No6>,รายได้อื่นนอกเหนือจาก 1. ถึง 5,Object,,[0…1],,,,,,
1.6.8.6.1,,,,,,TaxFormDetail.OtherIncomes.No6.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R137,,,
1.6.8.6.2,,,,,,TaxFormDetail.OtherIncomes.No6.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R138,,,
1.6.8.6.3,,,,,,TaxFormDetail.OtherIncomes.No6.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R139,,,
1.6.8.7,,,,,TaxFormDetail.OtherIncomes.TotalAmount,,,,<rd:TotalAmount>,รวม 1 ถึง 6 จะมีค่าก็ต่อเมื่อรายการที่ 5 ข้อใดข้อหนึ่งมีค่า,Object,,[0…1],C,C,,,,
1.6.8.7.1,,,,,,TaxFormDetail.OtherIncomes.TotalAmount.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R140,,,
1.6.8.7.2,,,,,,TaxFormDetail.OtherIncomes.TotalAmount.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R141,,,
1.6.8.7.3,,,,,,TaxFormDetail.OtherIncomes.TotalAmount.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R142,,,
1.6.9,,,,TaxFormDetail.OtherExpenses,,,,,<rd:OtherExpenses>,รายจ่ายอื่น,Object,,[0…1],,,,,,
1.6.9.1,,,,,TaxFormDetail.OtherExpenses.No1,,,,<rd:No1>,ขาดทุนจากการจำหน่ายทรัพย์สิน,Object,,[0…1],,,,,,
1.6.9.1.1,,,,,,TaxFormDetail.OtherExpenses.No1.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
